53.522093, -113.418807
53.563099, -113.590810
53.576088, -113.571612
53.599556, -113.502752
53.630854, -113.429150
53.598291, -113.473108
53.589224, -113.439642
53.567734, -113.396468
53.457689, -113.412503
53.464071, -113.406907
53.458336, -113.424667
53.451022, -113.421403
53.443193, -113.435961
53.445911, -113.452868
53.452734, -113.498087
53.460856, -113.542460
53.459321, -113.564785
53.460075, -113.573011
53.462865, -113.594192
53.493404, -113.643560
53.517825, -113.645038
53.548735, -113.530920
53.542242, -113.521351
53.544654, -113.513925
53.538859, -113.505336
53.534218, -113.493740
53.535570, -113.481177
53.532012, -113.477372
53.546353, -113.480994
53.547825, -113.480498
53.554208, -113.475549
53.555262, -113.488368
53.551949, -113.498300
53.561055, -113.487864
53.564849, -113.444763
53.529011, -113.468159
53.520048, -113.497697
53.512646, -113.497775
53.505641, -113.506171
53.495750, -113.477063
53.508611, -113.432841
53.508490, -113.514753
53.513297, -113.500723
53.517099, -113.515228
53.520056, -113.516623
53.530240, -113.442057
53.477867, -113.569805
53.471284, -113.585876
53.453177, -113.587788
53.445885, -113.534016
